Name,Continent,Team,Pos,Age,MP,Starts,Min,CrdY,CrdR,PrgC,PrgP,PrgG,G.A.PK_90
Conor Gallagher,Europe,CHE,MF,23,37,37,3128,9,1,62,172,122,0.35
Marc Cucurella,Europe,CHE,DF,25,21,20,1782,10,0,31,50,73,0.1
Lesley Ugochukwu,Europe,CHE,MF,19,12,3,301,2,0,8,17,3,0
Christopher Nkunku,Europe,CHE,FWMF,25,11,2,443,0,0,10,19,35,0.61
Benoît Badiashile,Europe,CHE,DF,22,18,15,1338,3,0,3,46,3,0.07
Malo Gusto,Europe,CHE,DF,20,27,19,1751,7,1,78,86,135,0.31
Axel Disasi,Europe,CHE,DF,25,31,29,2579,6,0,30,112,21,0.07
Ian Maatsen,Europe,CHE,FWMF,21,12,1,209,1,0,9,8,15,0
Nicolas Jackson,Africa,CHE,FW,22,35,31,2799,10,0,70,67,200,0.61
Mykhailo Mudryk,Europe,CHE,FW,22,31,18,1576,5,0,92,45,139,0.4
Matheus França,South America,CRY,MFFW,19,10,1,232,1,0,12,8,12,0.39
Daniel Muñoz,South America,CRY,DFMF,27,16,16,1439,4,0,25,38,80,0.25
Jefferson Lerma,South America,CRY,MFDF,28,28,27,2400,8,0,14,106,51,0.07
Joachim Andersen,Europe,CRY,DF,27,38,38,3415,7,0,21,147,10,0.13
Jesurun Rak Sakyi,Europe,CRY,MFFW,20,6,0,136,0,0,7,2,18,0
David Ozoh,Europe,CRY,MFDF,18,9,0,156,1,0,2,4,3,0
Adam Wharton,Europe,CRY,MF,19,16,15,1297,2,0,14,79,10,0.21
Nathaniel Clyne,Europe,CRY,DF,32,19,14,1338,0,0,10,33,18,0
Will Hughes,Europe,CRY,MF,28,30,23,1891,6,0,14,76,17,0.05
Joel Ward,Europe,CRY,DF,33,26,23,1980,4,0,16,66,14,0.05
Marc Guéhi,Europe,CRY,DF,23,25,23,2021,2,0,15,67,7,0.04
Eberechi Eze,Europe,CRY,MFFW,25,27,24,2055,3,0,68,93,139,0.61
Tyrick Mitchell,Europe,CRY,DFMF,23,37,37,3204,6,0,32,94,159,0.14
Naouirou Ahamada,Europe,CRY,MFFW,21,20,0,349,4,1,19,25,20,0
Michael Olise,Europe,CRY,FWMF,21,19,14,1275,0,0,68,78,134,1.06
Odsonne Édouard,Europe,CRY,FWMF,25,30,17,1555,4,0,33,36,100,0.41
Jean-Philippe Mateta,Europe,CRY,FW,26,35,25,2282,3,0,29,25,135,0.75
Jeffrey Schlupp,Africa,CRY,FWMF,30,29,17,1352,1,0,20,33,52,0.27
Jordan Ayew,Africa,CRY,FWMF,31,35,30,2543,9,1,74,63,173,0.39
Cheick Doucouré,Africa,CRY,MF,23,11,11,919,2,0,9,49,5,0
Jaïro Riedewald,Europe,CRY,MFFW,26,9,2,235,0,0,3,10,3,0
Chris Richards,North America,CRY,DFMF,23,26,23,2094,3,0,1,43,1,0.09
Amadou Onana,Europe,EVE,MF,21,30,23,2091,5,0,21,107,39,0.09
Lewis Dobbin,Europe,EVE,MF,20,12,1,232,1,0,6,3,20,0.39
Michael Keane,Europe,EVE,DF,30,9,4,439,2,0,4,14,3,0.21
Ben Godfrey,Europe,EVE,DF,25,15,13,1120,2,0,11,43,26,0
Dominic Calvert-Lewin,Europe,EVE,FW,26,32,26,2171,2,0,36,31,122,0.29
Jack Harrison,Europe,EVE,MFFW,26,29,25,2214,1,0,65,62,135,0.24
Ashley Young,Europe,EVE,DFMF,38,31,27,2280,7,1,40,82,61,0
Dwight McNeil,Europe,EVE,MFFW,23,35,33,2892,2,0,80,114,147,0.28
James Garner,Europe,EVE,MF,22,37,34,3004,7,0,36,100,76,0.09
Jarrad Branthwaite,Europe,EVE,DF,21,35,35,3116,8,0,2,74,6,0.09
James Tarkowski,Europe,EVE,DF,30,38,38,3419,11,0,15,130,20,0.05
Neal Maupay,Europe,EVE,FW,26,2,1,111,0,0,1,0,6,0
Beto,Africa,EVE,FW,25,30,9,951,2,0,14,14,58,0.28
Séamus Coleman,Europe,EVE,DF,34,12,7,665,0,0,5,22,16,0
Abdoulaye Doucouré,Africa,EVE,FWMF,30,32,32,2629,7,0,55,97,140,0.27
Arnaut Danjuma,Europe,EVE,MFFW,26,14,5,595,0,0,24,9,44,0.15
Alex Iwobi,Africa,EVE,MF,27,2,2,140,0,0,6,4,8,0
Youssef Chermiti,Europe,EVE,FW,19,18,1,208,3,0,5,5,15,0
André Gomes,Europe,EVE,MFFW,30,12,3,508,4,0,8,36,29,0.18
Nathan Patterson,Europe,EVE,DF,21,20,9,1005,4,0,17,38,39,0.18
Idrissa Gana Gueye,Africa,EVE,MF,33,25,24,1884,8,0,29,83,41,0.19
Vitaliy Mykolenko,Europe,EVE,DF,24,28,28,2469,1,0,14,55,68,0.07
Timothy Castagne,Europe,FUL,DF,27,34,29,2634,3,0,48,77,113,0.14
Carlos Vinícius,South America,FUL,FW,28,13,2,315,2,0,3,3,13,0.57
Rodrigo Muniz,South America,FUL,FW,22,26,18,1593,1,0,8,19,76,0.56
